NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
61029293722,A8395168,Generation,28/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0.136,0.042,0.015,0.018,0.675,0.126,0.228,0.599,0.481,0.258,0.067,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,29/05/2015,No,0.197,0.121,0.178,0.162,0.172,0.152,0.28,0.204,0.232,0.125,0.281,0.121,0.287,0.372,0.432,0.454,1.135,1.335,0.938,0.623,0.004,0.626,0.811,0.79,1.389,0.677,0.994,0.682,0.671,0.797,0.563,0.892,1.051,1.022,0.881,0.877,0.688,0.614,0.491,0.566,0.571,0.645,0.677,0.669,0.501,0.58,0.473,0.216
61029293722,A8395168,Generation,29/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.01,0.168,0.021,0.03,0.213,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,30/05/2015,No,0.171,0.209,0.137,0.204,0.124,0.174,0.117,0.206,0.12,0.181,0.157,0.217,0.15,0.22,0.141,0.567,0.441,0.44,0.175,0.135,0.31,0.198,0.278,0,0.007,0.007,0.03,0.094,0.276,0.362,0.254,0.488,0.651,0.593,0.926,1.477,1.794,0.852,0.922,0.603,0.657,0.769,0.616,0.536,0.376,0.334,0.352,0.336
61029293722,A8395168,Generation,30/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0.175,0.106,0.675,0.692,0.565,0.225,0.29,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,31/05/2015,No,0.297,0.161,0.153,0.151,0.159,0.182,0.139,0.155,0.166,0.246,0.276,0.336,0.199,0.19,0.24,0.145,0.156,0.32,0.379,0.265,0.586,0.674,1.296,0.778,0.71,1.141,0.242,0.56,0.566,0.893,0.57,0.593,0.399,0.551,0.576,0.973,1.461,1.034,0.602,0.999,0.791,1.353,0.711,0.651,0.384,0.333,0.201,0.158
61029293722,A8395168,Generation,31/05/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.054,0,0.002,0,0,0.031,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,1/06/2015,No,0.182,0.154,0.183,0.107,0.18,0.116,0.205,0.129,0.203,0.194,0.139,0.191,0.121,0.506,0.596,0.622,0.399,0.41,0.069,0,0.004,0.037,0.014,0.013,0,0.002,0,0.007,0.009,0.046,0.035,0.12,0.439,0.767,0.821,1.202,1.078,0.793,0.699,1.003,0.767,1.312,0.758,0.412,0.203,0.231,0.164,0.189
61029293722,A8395168,Generation,1/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.217,0.393,0.408,0.562,0.488,0.649,0.636,0.547,0.391,0.309,0.153,0.031,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,2/06/2015,No,0.112,0.202,0.231,0.247,0.215,0.255,0.257,0.248,0.263,0.257,0.305,0.207,0.294,0.408,0.673,0.58,0.317,0.101,0.019,0.076,0.035,0,0,0.024,0.419,0.467,0.371,0.006,0.054,0.267,0.18,0.1,0.221,0.455,0.664,0.958,0.632,0.732,1.016,0.794,1.234,0.746,0.8,0.7,0.669,0.417,0.226,0.113
