# Version: powershare 1.0.0
datetime_utc,datetime_local,total_watt_hours_in,total_watt_hours_out
2025-10-16 03:03:00,2025-10-16 13:33:00,36438,0
2025-10-16 03:04:00,2025-10-16 13:34:00,36442,0
2025-10-16 03:05:00,2025-10-16 13:35:00,36445,0
2025-10-16 03:06:00,2025-10-16 13:36:00,36449,0
2025-10-16 03:07:00,2025-10-16 13:37:00,36452,0
2025-10-16 03:08:00,2025-10-16 13:38:00,36456,0
2025-10-16 03:09:00,2025-10-16 13:39:00,36461,0
2025-10-16 03:10:00,2025-10-16 13:40:00,36467,0
2025-10-16 03:11:00,2025-10-16 13:41:00,36474,0
2025-10-16 03:12:00,2025-10-16 13:42:00,36483,0
2025-10-16 03:13:00,2025-10-16 13:43:00,36493,0
2025-10-16 03:14:00,2025-10-16 13:44:00,36506,0
2025-10-16 03:15:00,2025-10-16 13:45:00,36521,0
2025-10-16 03:16:00,2025-10-16 13:46:00,36534,0
2025-10-16 03:17:00,2025-10-16 13:47:00,36553,0
2025-10-16 03:18:00,2025-10-16 13:48:00,36566,0
2025-10-16 03:19:00,2025-10-16 13:49:00,36580,0
2025-10-16 03:20:00,2025-10-16 13:50:00,36592,0
2025-10-16 03:21:00,2025-10-16 13:51:00,36606,0
2025-10-16 03:22:00,2025-10-16 13:52:00,36621,0
2025-10-16 03:23:00,2025-10-16 13:53:00,36642,0
2025-10-16 03:24:00,2025-10-16 13:54:00,36661,0
2025-10-16 03:25:08,2025-10-16 13:55:08,36681,0
2025-10-16 03:26:00,2025-10-16 13:56:00,36699,0
2025-10-16 03:27:00,2025-10-16 13:57:00,36730,0
2025-10-16 03:28:01,2025-10-16 13:58:01,36756,0
2025-10-16 03:29:00,2025-10-16 13:59:00,36775,0
2025-10-16 03:30:00,2025-10-16 14:00:00,36794,0
2025-10-16 03:31:00,2025-10-16 14:01:00,36812,0
2025-10-16 03:32:00,2025-10-16 14:02:00,36830,0
2025-10-16 03:33:00,2025-10-16 14:03:00,36849,0
2025-10-16 03:34:00,2025-10-16 14:04:00,36875,0
2025-10-16 03:35:00,2025-10-16 14:05:00,36914,0
2025-10-16 03:36:00,2025-10-16 14:06:00,36950,0
2025-10-16 03:37:00,2025-10-16 14:07:00,36985,0
2025-10-16 03:38:00,2025-10-16 14:08:00,37020,0
2025-10-16 03:39:00,2025-10-16 14:09:00,37054,0
2025-10-16 03:40:00,2025-10-16 14:10:00,37079,0
2025-10-16 03:41:00,2025-10-16 14:11:00,37102,0
2025-10-16 03:42:00,2025-10-16 14:12:00,37135,0
2025-10-16 03:43:00,2025-10-16 14:13:00,37170,0
2025-10-16 03:44:00,2025-10-16 14:14:00,37200,0
2025-10-16 03:45:00,2025-10-16 14:15:00,37226,0
2025-10-16 03:46:00,2025-10-16 14:16:00,37252,0
2025-10-16 03:47:00,2025-10-16 14:17:00,37273,0
2025-10-16 03:48:00,2025-10-16 14:18:00,37306,0
2025-10-16 03:49:00,2025-10-16 14:19:00,37340,0
2025-10-16 03:50:00,2025-10-16 14:20:00,37356,0
2025-10-16 03:51:00,2025-10-16 14:21:00,37379,0
2025-10-16 03:52:00,2025-10-16 14:22:00,37408,0
2025-10-16 03:53:00,2025-10-16 14:23:00,37437,0
2025-10-16 03:54:00,2025-10-16 14:24:00,37479,0
2025-10-16 03:55:00,2025-10-16 14:25:00,37501,0
2025-10-16 03:56:00,2025-10-16 14:26:00,37530,0
2025-10-16 03:57:00,2025-10-16 14:27:00,37552,0
2025-10-16 03:58:00,2025-10-16 14:28:00,37588,0
2025-10-16 03:59:00,2025-10-16 14:29:00,37624,0
2025-10-16 04:00:00,2025-10-16 14:30:00,37660,0
2025-10-16 04:01:00,2025-10-16 14:31:00,37690,0
2025-10-16 04:02:00,2025-10-16 14:32:00,37718,0
2025-10-16 04:03:00,2025-10-16 14:33:00,37755,0
2025-10-16 04:04:00,2025-10-16 14:34:00,37791,0
2025-10-16 04:05:00,2025-10-16 14:35:00,37827,0
2025-10-16 04:06:00,2025-10-16 14:36:00,37863,0
2025-10-16 04:07:00,2025-10-16 14:37:00,37899,0
2025-10-16 04:08:00,2025-10-16 14:38:00,37932,0
2025-10-16 04:09:00,2025-10-16 14:39:00,37965,0
2025-10-16 04:10:01,2025-10-16 14:40:01,38001,0
2025-10-16 04:11:00,2025-10-16 14:41:00,38029,0
2025-10-16 04:12:00,2025-10-16 14:42:00,38065,0
2025-10-16 04:13:00,2025-10-16 14:43:00,38095,0
2025-10-16 04:14:00,2025-10-16 14:44:00,38129,0
2025-10-16 04:15:00,2025-10-16 14:45:00,38161,0
2025-10-16 04:16:00,2025-10-16 14:46:00,38196,0
2025-10-16 04:17:00,2025-10-16 14:47:00,38229,0
2025-10-16 04:18:00,2025-10-16 14:48:00,38261,0
2025-10-16 04:19:00,2025-10-16 14:49:00,38294,0
2025-10-16 04:20:00,2025-10-16 14:50:00,38326,0
2025-10-16 04:21:00,2025-10-16 14:51:00,38359,0
2025-10-16 04:22:00,2025-10-16 14:52:00,38392,0
2025-10-16 04:23:00,2025-10-16 14:53:00,38425,0
2025-10-16 04:24:00,2025-10-16 14:54:00,38457,0
2025-10-16 04:25:00,2025-10-16 14:55:00,38490,0
2025-10-16 04:26:00,2025-10-16 14:56:00,38522,0
2025-10-16 04:27:00,2025-10-16 14:57:00,38555,0
2025-10-16 04:28:00,2025-10-16 14:58:00,38587,0
2025-10-16 04:29:00,2025-10-16 14:59:00,38620,0
2025-10-16 04:30:00,2025-10-16 15:00:00,38651,0
2025-10-16 04:31:00,2025-10-16 15:01:00,38683,0
2025-10-16 04:32:00,2025-10-16 15:02:00,38715,0
2025-10-16 04:33:00,2025-10-16 15:03:00,38746,0
2025-10-16 04:34:00,2025-10-16 15:04:00,38777,0
2025-10-16 04:35:00,2025-10-16 15:05:00,38807,0
2025-10-16 04:36:00,2025-10-16 15:06:00,38838,0
2025-10-16 04:37:00,2025-10-16 15:07:00,38869,0
2025-10-16 04:38:00,2025-10-16 15:08:00,38900,0
2025-10-16 04:39:00,2025-10-16 15:09:00,38932,0
2025-10-16 04:40:00,2025-10-16 15:10:00,38964,0
2025-10-16 04:41:00,2025-10-16 15:11:00,38992,0
2025-10-16 04:42:00,2025-10-16 15:12:00,39011,0
2025-10-16 04:43:00,2025-10-16 15:13:00,39029,0
2025-10-16 04:44:00,2025-10-16 15:14:00,39042,0
